,density,TC,kVRH,gV,kV,gVRH,volume
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_debye_temperature.pt,58.5 (11.3),74.9 (8.6),54.2 (10.9),73.2 (12.2),54.2 (10.9),73.2 (7.3),36.8 (5.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)1.pt,49.7 (15.1),66.7 (7.0),60.8 (10.6),69.9 (6.9),60.8 (10.6),76.5 (8.8),28.1 (10.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap4.pt,54.4 (9.8),64.3 (12.0),55.6 (12.2),63.4 (7.7),55.6 (12.2),66.7 (10.2),22.8 (7.0)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli2.pt,53.8 (12.6),69.0 (12.5),68.0 (12.2),67.3 (8.9),68.0 (12.2),69.3 (9.7),26.3 (7.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield2.pt,50.9 (9.5),64.9 (12.3),53.6 (11.2),63.4 (8.2),53.6 (11.2),71.9 (9.2),28.7 (9.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons4.pt,59.6 (11.2),70.8 (8.4),51.0 (11.8),64.1 (7.5),51.0 (11.8),72.5 (8.8),37.4 (8.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal1.pt,43.9 (15.3),55.6 (16.0),43.1 (12.5),53.6 (14.2),43.1 (12.5),47.1 (9.8),25.1 (7.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric1.pt,55.0 (11.5),66.7 (14.4),57.5 (14.6),63.4 (10.9),57.5 (14.6),69.3 (10.1),21.6 (7.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield3.pt,50.3 (11.5),64.9 (8.7),54.9 (9.8),66.7 (11.4),54.9 (9.8),68.6 (7.8),23.4 (7.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)3.pt,53.2 (10.7),69.6 (7.3),65.4 (13.0),73.2 (7.8),65.4 (13.0),78.4 (11.4),29.8 (10.5)
