,gVRH,kVRH,TC,volume,gV,kV,density
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Energy_per_atom.pt,1.88 (1.88),0.9 (0.69),0.42 (0.45),4.98 (1.9),1.95 (2.08),0.96 (0.73),2.55 (1.36)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric4.pt,5.39 (5.06),4.32 (3.4),0.86 (0.62),4.77 (1.7),5.37 (4.99),4.26 (3.32),1.12 (0.32)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__agl_thermal_expansion_300K.pt,1.88 (1.59),1.07 (0.75),0.66 (0.85),4.37 (2.23),1.71 (1.55),1.0 (0.68),1.64 (0.98)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal0.pt,4.93 (4.68),3.72 (2.74),0.98 (0.88),5.88 (1.86),4.46 (4.37),3.75 (2.78),3.16 (1.54)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield4.pt,3.15 (3.19),2.09 (1.62),0.4 (0.19),5.58 (1.74),3.0 (3.2),2.04 (1.56),1.53 (0.7)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_shear_modulus.pt,2.31 (2.51),1.47 (1.49),0.27 (0.27),5.1 (1.5),2.19 (2.49),1.42 (1.41),2.79 (1.59)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap2.pt,3.56 (3.96),2.3 (2.3),0.42 (0.24),4.57 (1.71),3.46 (3.93),2.34 (2.36),2.64 (2.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)2.pt,2.88 (3.19),1.26 (1.13),0.34 (0.32),5.74 (1.81),2.72 (3.09),1.36 (1.24),3.65 (2.12)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_mu_b.pt,3.13 (2.68),2.41 (1.62),0.34 (0.25),5.1 (1.68),3.1 (2.7),2.35 (1.58),1.99 (0.65)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_shear_modulus_vrh.pt,1.26 (1.2),0.76 (0.6),0.35 (0.44),4.58 (1.66),1.13 (1.21),0.74 (0.6),1.72 (0.74)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap3.pt,3.78 (3.33),1.98 (1.69),0.46 (0.39),4.95 (1.8),3.76 (3.37),2.1 (1.83),1.94 (1.22)
