test_size,epochs,nblayers,r2,evs,mae,time
0.45,25,2,0.9637548427940529,0.9649935365330935,0.12956230650141887,1.92315673828125
0.45,26,2,0.9633759870751549,0.9633837937480434,0.12584917774040016,1.9973042011260986
0.45,27,2,0.9624417758254777,0.9626267196148887,0.12818600873592673,2.0585055351257324
0.45,28,2,0.9636557471570586,0.964283874114989,0.12713826818021617,2.027247667312622
0.45,29,2,0.9647707425851157,0.9648215907050786,0.1246529130877521,2.3240649700164795
0.45,30,2,0.9624589082847799,0.9627217248313842,0.1280881952321031,2.184587240219116
0.45,1,3,0.46463072387857407,0.5206525151246065,0.41086552453386266,0.7214758396148682
0.45,2,3,0.886426082282179,0.8866208916877655,0.2082862453439589,0.753326416015625
0.45,3,3,0.9268110607330708,0.9271745957638752,0.17972380316775896,0.8144643306732178
0.45,4,3,0.9445631287547483,0.9449314703897204,0.1551028525945385,0.8395841121673584
0.45,5,3,0.9532754747791539,0.9533594425123371,0.14415034388470951,0.9123890399932861
0.45,6,3,0.9531545547616265,0.9536813913932226,0.14248114522354682,0.9418461322784424
0.45,7,3,0.9542738516550232,0.9544155079489661,0.13968601158543084,0.9721462726593018
0.45,8,3,0.9557962217065258,0.957851823794037,0.13948033070089919,1.2588911056518555
0.45,9,3,0.9557072238935156,0.956209564645405,0.1362273976110205,1.0879619121551514
0.45,10,3,0.9593222673854005,0.9595438192783969,0.13516627098536438,1.169384479522705
0.45,11,3,0.9594272675525349,0.9595240203815902,0.13331080110354654,1.203752040863037
0.45,12,3,0.9602643068160135,0.9606536519011618,0.13144405604517492,1.2642371654510498
0.45,13,3,0.9607415489824396,0.9621222461918106,0.13451439074596563,1.3674366474151611
0.45,14,3,0.9592669178184601,0.96019562854223,0.13386973600057114,1.3648743629455566
0.45,15,3,0.963339244503266,0.9633428031583109,0.12657956852163282,1.4523978233337402
0.45,16,3,0.960312130358604,0.9616571876499218,0.13123725114301535,1.6893832683563232
0.45,17,3,0.9627324941470815,0.9631037692042814,0.12775714281616682,1.5602490901947021
0.45,18,3,0.9623802651555166,0.9627159869042977,0.12774405217415136,1.6199400424957275
0.45,19,3,0.961048381021701,0.9623075004863914,0.1290557594283545,1.6380319595336914
0.45,20,3,0.9611712937374766,0.9621810809080824,0.13373084960156031,1.709218978881836
0.45,21,3,0.9590397798682124,0.9622113160954259,0.14126383024053593,1.761850118637085
0.45,22,3,0.9634993051929056,0.964183643875376,0.12939817793319452,1.89243745803833
0.45,23,3,0.9643409800686181,0.9645470854263269,0.12379232087830468,1.9078235626220703
0.45,24,3,0.9564075783124661,0.9610047690122056,0.14075845532278922,2.1721904277801514
0.45,25,3,0.9627804378940147,0.962880057732895,0.12615943982296646,1.987335205078125
0.45,26,3,0.9638170763148288,0.9639620177125376,0.12414973670120516,2.089935064315796
0.45,27,3,0.9634238914094271,0.9634558562402268,0.12797290581012682,2.121455430984497
0.45,28,3,0.9629600407411901,0.9638517460926855,0.12833166163111934,2.183514356613159
