spacegroup,nsites,chemsys,material_id,TC,volume,density,is_stable,energy_per_atom,band_gap,efermi,is_gap_direct,is_metal
zincblende,2,Be-O,mp-1778,368.0364229700956,13.691067645153574,3.033562473352565,False,-7.43996461,6.847700000000001,2.40466533,False,False
zincblende,2,Be-S,mp-422,196.41161229251907,28.880721048437852,2.361792329991975,True,-5.24613759,3.1453,3.64446235,False,False
zincblende,2,Be-Se,mp-1541,453.05605910409946,34.50577300165209,4.233530574088316,True,-4.6470500349999995,2.6636999999999995,2.92071872,False,False
zincblende,2,Be-Te,mp-252,265.1332487131116,45.40050984281411,4.996636953414623,True,-4.01172132,2.0172999999999996,4.56983087,False,False
zincblende,2,B-N,mp-1639,1297.6535193731645,11.91856931582488,3.4576935621325986,False,-8.89196941,4.4506,7.49445659,False,False
zincblende,2,B-P,mp-1479,484.6934033296575,23.272944325085422,2.9813687825821957,True,-6.4538348,1.2434999999999992,7.5307309,False,False
zincblende,2,Cd-S,mp-2469,25.818777597301363,50.977693339587724,4.70613765491418,False,-3.4120486850000002,1.0492,0.9195785,True,False
zincblende,2,Cd-Se,mp-2691,17.555091536304044,57.88422347057727,5.489907312582963,True,-3.0650133449999997,0.5096,0.4845965,True,False
zincblende,2,Cd-Te,mp-406,8.97031402923846,70.71162283069633,5.636239502916919,True,-2.7024064699999997,0.5846000000000002,1.77816521,True,False
zincblende,2,Br-Cu,mp-22913,8.669870475809189,45.25114146849795,5.264051278564948,True,-3.385688825,0.48709999999999987,3.37355005,True,False
zincblende,2,Cl-Cu,mp-22914,1.8972895569482466,38.40896604376199,4.280034689479288,False,-3.659133975,0.5646,3.79302604,True,False
zincblende,2,As-Ga,mp-2534,36.260249234690725,47.531859385343836,5.05320036242451,True,-4.19612485,0.18610000000000015,2.72603823,True,False
zincblende,2,Ga-N,mp-830,268.3436985461308,22.887746471078287,6.074710678064747,False,-6.33382013,1.5701000000000005,3.46241013,True,False
zincblende,2,Ga-P,mp-2490,118.153031393418,40.5058667192971,4.128066394428307,True,-4.630545515,1.6038999999999999,3.4774535,False,False
zincblende,2,Ga-Sb,mp-1156,35.71790768152866,57.78999678408531,5.502076826163306,True,-3.8313227100000002,0.0,3.77480409,False,True
zincblende,2,As-In,mp-20305,24.83230873124552,56.944276054273985,5.532953267871242,True,-3.934063595,0.0,3.88498542,False,True
zincblende,2,In-N,mp-20411,107.01979700285294,31.351199434443608,6.823293875576772,False,-5.613142125,0.0,6.05292816,False,True
zincblende,2,In-P,mp-20351,85.89638395842621,51.44801613145897,4.705583122405697,True,-4.28829049,0.4546000000000001,4.68757835,True,False
zincblende,2,In-Sb,mp-20012,14.66007638969998,72.96481594403005,5.384060882157784,True,-3.64944349,0.0,4.41408198,False,True
zincblende,2,Mg-Te,mp-13033,11.235859661473171,67.5217326217723,3.7357481379341437,False,-3.4576523349999997,2.3638000000000003,1.9857342,True,False
zincblende,2,C-Si,mp-8062,489.4072006791169,20.634942460365664,3.2266291340570596,False,-7.5296584,1.3669000000000002,8.05933012,False,False
zincblende,2,O-Zn,mp-1986,70.88344515489206,23.681474592351165,5.708336616549273,False,-4.88762986,0.6308999999999999,0.86055713,True,False
zincblende,2,S-Zn,mp-10695,69.15317134764877,39.09033502667045,4.140649724985354,False,-3.760990785,2.0192,1.90769514,True,False
zincblende,2,Se-Zn,mp-1190,21.422100070808153,45.44784771695639,5.274845268778988,True,-3.3293885750000003,1.1663,1.321407,True,False
