Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
wurtzite,AlP,4.0,20.476745564434594,115.910602,67.74721670610886,2.3491477040935838,3.0,5.0,3.0,3.0,13.0,15.0,26.982,30.974,14.0,16.0,13.0,15.0,13.0,15.0,3.0,3.0,1.61,2.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,AlSb,4.0,29.34016814032942,297.48307800000003,50.338684347127376,4.2077290348007494,3.0,5.0,3.0,5.0,13.0,15.0,26.982,121.76,14.0,71.0,13.0,51.0,13.0,51.0,3.0,5.0,1.61,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wurtzite,AsB,4.0,13.52287451655423,171.46519999999998,1316.4723840736665,5.262051194284972,3.0,5.0,2.0,4.0,13.0,15.0,10.811,74.922,6.0,42.0,5.0,33.0,5.0,33.0,2.0,4.0,2.0,2.18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,BeO,4.0,6.888906539074289,50.023164,310.93494411307404,3.0134844974670862,2.0,6.0,2.0,2.0,2.0,16.0,9.012,15.999,5.0,8.0,4.0,8.0,4.0,8.0,2.0,2.0,2.0,3.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wurtzite,BeS,4.0,14.20230226297148,82.15436399999999,156.6434005169799,2.4006010031831737,2.0,6.0,2.0,3.0,2.0,16.0,9.012,32.065,5.0,16.0,4.0,16.0,4.0,16.0,2.0,3.0,2.0,2.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wurtzite,BeSe,4.0,16.94804753044664,175.944364,321.05421564440184,4.308278633797044,2.0,6.0,2.0,4.0,2.0,16.0,9.012,78.96,5.0,45.0,4.0,34.0,4.0,34.0,2.0,4.0,2.0,2.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wurtzite,BeTe,4.0,22.100964301572407,273.224364,197.4769879630724,5.130459898165295,2.0,6.0,2.0,5.0,2.0,16.0,9.012,127.6,5.0,76.0,4.0,52.0,4.0,52.0,2.0,5.0,2.0,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wurtzite,BN,4.0,5.885342707282989,49.6354,1036.7654131789038,3.499998559898568,3.0,5.0,2.0,2.0,13.0,15.0,10.811,14.007,6.0,7.0,5.0,7.0,5.0,7.0,2.0,2.0,2.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,BP,4.0,11.556341574319125,83.569524,440.8682856554829,3.0010667508366162,3.0,5.0,2.0,3.0,13.0,15.0,10.811,30.974,6.0,16.0,5.0,15.0,5.0,15.0,2.0,3.0,2.0,2.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wurtzite,CdS,4.0,24.87126873912646,288.952,19.876929564235827,4.8214299502684606,2.0,6.0,3.0,5.0,12.0,16.0,32.065,112.411,16.0,64.0,16.0,48.0,16.0,48.0,3.0,5.0,1.69,2.58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wurtzite,CdSe,4.0,28.32528615711941,382.742,12.476415846764713,5.60763725806445,2.0,6.0,4.0,5.0,12.0,16.0,78.96,112.411,45.0,64.0,34.0,48.0,34.0,48.0,4.0,5.0,1.69,2.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wurtzite,CdTe,4.0,34.32445600315216,480.0220000000001,6.284424732028807,5.803708294217565,2.0,6.0,5.0,5.0,12.0,16.0,112.411,127.6,64.0,76.0,48.0,52.0,48.0,52.0,5.0,5.0,1.69,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wurtzite,BrCu,4.0,21.53814356882703,286.9,3.5025703072506715,5.528029823903909,1.0,7.0,4.0,4.0,11.0,17.0,63.546,79.904,35.0,45.0,29.0,35.0,29.0,35.0,4.0,4.0,1.9,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,ClCu,4.0,18.280126120230076,197.998,1.7289937126642387,4.495000169012282,1.0,7.0,3.0,4.0,11.0,17.0,35.453,63.546,18.0,35.0,17.0,29.0,17.0,29.0,3.0,4.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,CuH,4.0,7.598291958426611,129.10788,5.777278381676896,7.051554545831751,1.0,1.0,1.0,4.0,1.0,11.0,1.007,63.546,0.0,35.0,1.0,29.0,1.0,29.0,1.0,4.0,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,CuI,4.0,25.9148731386731,380.90094,8.955042925685737,6.099736211484837,1.0,7.0,4.0,5.0,11.0,17.0,63.546,126.904,35.0,74.0,29.0,53.0,29.0,53.0,4.0,5.0,1.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
